FlatOut 2,C:\GOG Games\FlatOut 2\Savegame
Ni no Kuni II Revenant Kingdom,C:\users\Public\Documents\Steam\CODEX\589360
A Hat in Time,C:\GOG Games\A Hat in Time\HatinTimeGame\SaveData
Age of Wonders III,C:\users\xuser\Documents\My Games\AoW3\Profiles
STALKER Shadow of Chernobyl,C:\users\xuser\Documents\Stalker-SHOC\savedgames
STALKER Clear Sky,C:\users\xuser\Documents\Stalker-STCS\savedgames
STALKER Call of Pripyat,C:\users\xuser\Documents\Stalker-COP\savedgames
Resident Evil 3 Remake,C:\users\Public\Documents\Steam\CODEX\952060
Resident Evil 5,C:\users\xuser\AppData\Roaming\Goldberg SteamEmu Saves\21690
Final Fantasy III,C:\users\xuser\AppData\Local\FF3_Win32
Final Fantasy VII Remake,C:\users\xuser\Documents\My Games\FINAL FANTASY VII REMAKE
Final Fantasy VIII Remastered,C:\users\xuser\Documents\My Games\FINAL FANTASY VIII Remastered\GOG
Final Fantasy XII The Zodiac Age,C:\users\xuser\Documents\My Games\FINAL FANTASY XII THE ZODIAC AGE
Final Fantasy X/X-2 HD Remaster,C:\users\xuser\Documents\Square Enix\FINAL FANTASY X&X-2 HD Remaster
Final Fantasy XIII,C:\users\xuser\AppData\Local\SquareEnix\FinalFantasyXIII\save
Final Fantasy Type-0 HD,C:\users\xuser\AppData\Roaming\Steam\CODEX\340170
Fable,C:\users\xuser\Documents\My Games\Fable\Saves
YS Origin,C:\users\xuser\Saved Games\FALCOM\yso_win
Command and Conquer Red Alert 3,C:\users\xuser\Saved Games\Red Alert 3
Lost Planet Extreme Condition Colonies,C:\users\xuser\AppData\Local\capcom\lostplanetcolonies
Digimon World Next Order,C:\users\xuser\AppData\LocalLow\Bandai Namco Entertainment\Digimon World Next Order
Need For Speed Most Wanted,C:\users\xuser\Documents\Criterion Games\Need For Speed(TM) Most Wanted\Save
Turok 2 Seeds of Evil,C:\GOG Games\Turok 2 - Seeds of Evil\saves
Lords of the Fallen,C:\users\xuser\AppData\Local\GOG.com\Galaxy\Applications\51225745408380260
DOOM 2016,C:\users\xuser\Saved Games\id Software\DOOM\base\savegame
System Shock,C:\users\xuser\Saved Games\Nightdive Studios\SystemShock\Saved\SaveGames
Starbound,C:\GOG Games\Starbound\storage
Homefront The Revolution,C:\users\xuser\Saved Games\homefront2_public\SaveGames
Dragon's Dogma Dark Arisen,C:\users\xuser\AppData\Local\GOG.com\Galaxy\Applications\49987265717041704
Monster Boy and the Cursed Kingdom,C:\users\xuser\AppData\Local\Monsterboy
Empires Dawn of the Modern World,C:\GOG Games\Empires Dawn of the Modern World\Data\Saved Games
Eiyuden Chronicle Rising,C:\users\xuser\AppData\LocalLow\505 Games S_p_A\Eiyuden Chronicle Rising
Venetica,C:\users\xuser\Documents\Venetica\save
Atom RPG,C:\users\xuser\AppData\LocalLow\AtomTeam\Atom
Ys Memories of Celceta,C:\users\xuser\Saved Games\FALCOM\Ys Memories of Celceta
Medal of Honor Allied Assault,C:\GOG Games\Medal of Honor - Allied Assault War Chest\main\save
Metal Gear Rising,C:\users\xuser\Documents\MGR\SaveData
GUN,C:\users\xuser\Documents\Activision\Gun\saves
Psychonauts,C:\GOG Games\Psychonauts\Profiles
Far Cry 2,C:\users\xuser\Documents\My Games\Far Cry 2\Saved Games
Far Cry 4,C:\Games\Far Cry 4\bin\save3dmgames
The Witcher 3,C:\users\xuser\Documents\The Witcher 3\gamesaves
Shadow Warrior 2,C:\users\xuser\Saved Games\Flying Wild Hog\Shadow Warrior 2
WRATH,C:\GOG Games\WRATH\kp1\data\profiles
Sunset Overdrive,C:\users\xuser\AppData\Local\Sunset\Saves
Borderlands 2,C:\users\xuser\Documents\My Games\Borderlands 2\WillowGame\SaveData
Star Ocean The Last Hope,C:\users\xuser\Documents\My Games\STAR OCEAN - THE LAST HOPE - 4K & Full HD Remaster\SaveData
Wasteland 2,C:\users\xuser\Documents\My Games\Wasteland2DC\Save Games
The Outer Worlds,C:\users\xuser\Saved Games\The Outer Worlds
Metal Slug Tactics,C:\users\xuser\AppData\LocalLow\Leikir Studio\Metal Slug Tactics\Save
XIII,C:\users\xuser\AppData\LocalLow\Microids\XIII
Kingdoms of Amalur Re-Reckoning,C:\users\xuser\AppData\LocalLow\THQNOnline\Kingdoms of Amalur Re-Reckoning
Valkyria Chronicles,C:\Games\Valkyria Chronicles\savedata
Dino Crisis,C:\GOG Games\Dino Crisis\Save
Dino Crisis 2,C:\GOG Games\Dino Crisis 2\Saves
Chrono Trigger,C:\users\xuser\Documents\My Games\Chrono Trigger
Chrono Cross,C:\users\xuser\Documents\My Games\CHRONO CROSS  THE RADICAL DREAMERS EDITION
Breath of Fire IV,C:\GOG Games\Breath of Fire IV\SAV
Dying Light,C:\users\xuser\Documents\DyingLight\out
Devil May Cry 4 Special Edition,C:\users\xuser\Documents\CAPCOM\DEVILMAYCRY4SPECIALEDITION
NieR Automata,C:\users\xuser\Documents\My Games\NieR_Automata
Dishonored 2,C:\users\xuser\Saved Games\Arkane Studios\Dishonored2\base\savegame
Hollow Knight Silksong,C:\users\xuser\AppData\LocalLow\Team Cherry\Hollow Knight Silksong
MechWarrior 5 Mercenaries,C:\users\xuser\AppData\Local\MW5Mercs\Saved
